,inputs,targets,outputs
0,ank,अंक,अंतर्विष्ठार्थ
1,anka,अंक,अंधार्थ
2,ankit,अंकित,अंतर्विधा
3,anakon,अंकों,अनुपाता
4,ankhon,अंकों,अंतर्विधान
5,ankon,अंकों,अंतराधिकार
6,angkor,अंकोर,अंधकार
7,ankor,अंकोर,अंतर्माण
8,angaarak,अंगारक,अंतर्वाज
9,angarak,अंगारक,अंतर्विधा
10,angraji,अंग्रज़ी,अंतर्विधार
11,angreji,अंग्रज़ी,अंतर्विष्य
12,angrzi,अंग्रज़ी,अंतर्मासन
13,antah,अंतः,अंतराधिक
14,antaha,अंतः,अंगार
15,antarmukh,अंतर्मुख,अंतर्वासन
16,antmurkh,अंतर्मुख,अंतर्विराज
17,antrmukh,अंतर्मुख,अंधकार
18,andrabee,अंद्राबी,अंतर्विवादन
19,andrabi,अंद्राबी,अंगल
20,andha,अंधा,अंतर्देश
21,andhapan,अंधापन,अंतर्वासन
22,andheri,अंधेरी,अंतर्वेश
23,ambaani,अंबानी,अतिकार
24,ambani,अंबानी,अमानु
25,akram,अकरम,अक्षेत्र
26,acapulco,अकापुल्को,अकालक
27,akapulko,अकापुल्को,अकाल्या
28,akhand,अखंड,अक्षेत्र
29,akhil,अखिल,अकालिका
30,agavai,अगवाई,अधिकार
31,agvaai,अगवाई,अग्न
32,augustine,अगस्टाइन,आवाज
33,augustustine,अगस्टाइन,आगर्शन
34,agsta,अगस्ता,अधिकार
35,agusta,अगस्ता,अधिकार
36,augusta,अगस्ता,औद्यापन
37,agr,अग्र,अग्रवासी
38,agra,अग्र,अग्राहित
39,achambha,अचंभा,अकाल्य
40,achanbha,अचंभा,अकालते
41,achievement,अचीवमेंट,अख्ता
42,achivement,अचीवमेंट,अच्छार्थ
43,acchi,अच्छी,अक्लिक्स
44,achchi,अच्छी,अक्षिक
45,achhi,अच्छी,अकाद
46,achyut,अच्युत,अक्षेत्र
47,achhanera,अछनेरा,अकादूर
48,achnera,अछनेरा,अकाली
49,ajmeedh,अजमीढ़,अजाते
50,ajhar,अजहर,अजमानी
51,azhar,अजहर,अजमान
52,ajit,अजित,अग्रह
53,agnat,अज्ञात,अधिकार
54,agyaat,अज्ञात,अग्निवासिक
55,agyat,अज्ञात,आदिकार
56,atakta,अटकता,अभियोग
57,atkata,अटकता,अतिश्रेष्ठ
58,atake,अटके,आत्मावती
59,atke,अटके,अतिविधार्थ
